Notes,Month,Month_Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,"Jan., 2010",2010-01,Handgun discharge,W32,10,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2010",2010-01,"Rifle, shotgun and larger firearm discharge",W33,9,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2010",2010-01,Discharge from other and unspecified firearms,W34,40,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2010",2010-01,Intentional self-harm by handgun discharge,X72,364,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2010",2010-01,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,234,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2010",2010-01,Intentional self-harm by other and unspecified firearm discharge,X74,970,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2010",2010-01,Assault by handgun discharge,X93,73,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2010",2010-01,"Assault by rifle, shotgun and larger firearm discharge",X94,59,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2010",2010-01,Assault by other and unspecified firearm discharge,X95,758,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2010",2010-01,"Handgun discharge, undetermined intent",Y22,3,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2010",2010-01,"Rifle, shotgun and larger firearm discharge, undetermined intent",Y23,3,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2010",2010-01,"Other and unspecified firearm discharge, undetermined intent",Y24,17,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2010",2010-01,Legal intervention involving firearm discharge,Y35.0,28,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2010",2010-02,Handgun discharge,W32,6,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2010",2010-02,"Rifle, shotgun and larger firearm discharge",W33,5,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2010",2010-02,Discharge from other and unspecified firearms,W34,29,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2010",2010-02,Intentional self-harm by handgun discharge,X72,334,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2010",2010-02,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,229,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2010",2010-02,Intentional self-harm by other and unspecified firearm discharge,X74,863,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2010",2010-02,Assault by handgun discharge,X93,60,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2010",2010-02,"Assault by rifle, shotgun and larger firearm discharge",X94,33,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2010",2010-02,Assault by other and unspecified firearm discharge,X95,573,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2010",2010-02,"Handgun discharge, undetermined intent",Y22,3,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2010",2010-02,"Rifle, shotgun and larger firearm discharge, undetermined intent",Y23,2,Not Applicable,Not Applicable,Not Applicable
